,RiderID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,PULocationID,PUBorough,PUZone,DOLocationID,DOBorough,DOZone,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,congestion_surcharge
45,46,2024-07-11 13:03:35,2024-07-11 13:30:21,1.0,3.75,1.0,233,Manhattan,UN/Turtle Bay South,75,Manhattan,East Harlem South,1,24.0,0.0,0.5,8.4,0.0,36.4,2.5
46,47,2024-07-10 18:50:41,2024-07-10 18:53:57,1.0,0.6,1.0,239,Manhattan,Upper West Side South,239,Manhattan,Upper West Side South,1,5.1,5.0,0.5,2.3,0.0,13.9,2.5
47,48,2024-07-10 18:49:05,2024-07-10 18:57:03,1.0,2.34,1.0,237,Manhattan,Upper East Side South,74,Manhattan,East Harlem North,1,11.4,2.5,0.5,3.58,0.0,21.48,2.5
48,49,2024-07-10 16:51:45,2024-07-10 16:56:14,1.0,0.24,1.0,140,Manhattan,Lenox Hill East,140,Manhattan,Lenox Hill East,1,5.8,2.5,0.5,1.0,0.0,13.3,2.5
49,50,2024-07-09 17:16:46,2024-07-09 17:27:08,2.0,0.52,1.0,170,Manhattan,Murray Hill,230,Manhattan,Times Sq/Theatre District,1,10.0,2.5,0.5,2.5,0.0,19.0,2.5
50,51,2024-07-08 20:00:11,2024-07-08 20:08:00,1.0,1.48,1.0,48,Manhattan,Clinton East,249,Manhattan,West Village,2,10.0,1.0,0.5,0.0,0.0,15.0,2.5
51,52,2024-07-08 16:34:31,2024-07-08 16:34:37,1.0,0.0,1.0,264,Unknown,,264,Unknown,,3,3.0,2.5,0.5,0.0,0.0,7.0,0.0
52,53,2024-07-08 15:36:54,2024-07-08 15:41:27,1.0,0.72,1.0,162,Manhattan,Midtown East,141,Manhattan,Lenox Hill West,2,6.5,0.0,0.5,0.0,0.0,10.5,2.5
53,54,2024-07-07 21:41:51,2024-07-07 22:07:09,1.0,5.28,1.0,234,Manhattan,Union Sq,151,Manhattan,Manhattan Valley,1,28.2,1.0,0.5,3.32,0.0,36.52,2.5
54,55,2024-07-07 19:49:47,2024-07-07 20:31:12,1.0,15.5,2.0,132,Queens,JFK Airport,170,Manhattan,Murray Hill,1,70.0,4.25,0.5,16.53,6.94,99.22,2.5
55,56,2024-07-07 12:38:27,2024-07-07 12:50:21,1.0,1.71,1.0,125,Manhattan,Hudson Sq,107,Manhattan,Gramercy,1,12.1,0.0,0.5,3.22,0.0,19.32,2.5
56,57,2024-07-06 19:52:19,2024-07-06 20:09:29,1.0,3.58,1.0,163,Manhattan,Midtown North,41,Manhattan,Central Harlem,2,20.5,0.0,0.5,0.0,0.0,24.5,2.5
57,58,2024-07-06 16:06:00,2024-07-06 16:14:24,2.0,2.44,1.0,132,Queens,JFK Airport,219,Queens,Springfield Gardens South,2,12.8,0.0,0.5,0.0,0.0,16.05,0.0
58,59,2024-07-06 13:43:25,2024-07-06 13:55:50,1.0,0.87,1.0,246,Manhattan,West Chelsea/Hudson Yards,48,Manhattan,Clinton East,1,12.1,0.0,0.5,2.42,0.0,18.52,2.5
59,60,2024-07-05 19:04:48,2024-07-05 19:17:46,1.0,3.0,1.0,264,Unknown,,264,Unknown,,1,16.3,5.0,0.5,4.55,0.0,27.35,2.5
60,61,2024-07-05 14:23:39,2024-07-05 14:32:21,5.0,1.83,1.0,43,Manhattan,Central Park,163,Manhattan,Midtown North,1,12.1,0.0,0.5,3.22,0.0,19.32,2.5
61,62,2024-07-04 22:30:02,2024-07-04 22:48:00,1.0,2.1,1.0,48,Manhattan,Clinton East,234,Manhattan,Union Sq,1,13.5,3.5,0.5,0.0,0.0,18.5,2.5
